Spotify,Band → ID
https://open.spotify.com/artist/5SkeaFZefSVE1n7pDdNnNM?si=k9mjdM9eSz6KQsvBVvgfIQ,649
https://open.spotify.com/artist/3P6lDrnBON2Q48dZHQO0ya,645
https://open.spotify.com/artist/3UwxuC6nizpJNj61aV4WIu?si=u49eUzmMS0WtSiFTHZwvkA,650
https://open.spotify.com/artist/7AzTh8A4aurn8uCG3BPVQi,674
https://open.spotify.com/artist/5kGvcS4JETjLY0oGijSEr9?si=X24371aqSYeIjpatnu3fPQ,666
https://open.spotify.com/album/3p20B2zCSulC7DDA6lbtLL,677
https://open.spotify.com/artist/2vBLznqVIEFTrtZZ04vsES,685
https://open.spotify.com/track/09GhSh6doDKemuhdPEv8zR?si=1mJPNi1sSn6v9SdRd0ueTQ,709
https://open.spotify.com/artist/4MismZLKqMb2Qb2HjK4sdE,689
https://open.spotify.com/artist/02V3kjbmv5TvGtJym8lGpb?si=QgS0XvMhSZiAsZkLwoND1Q,693
https://open.spotify.com/artist/6X1TaaxoNVfqBqkSL1JWYW,600
https://open.spotify.com/artist/0hn6MIbOu7wcJcTpLD5KfQ?si=WhFJadw5Thu8MHkFXA3tlg,695
https://open.spotify.com/artist/54oVe5H35wvd40oF6SZwBP,707
https://open.spotify.com/artist/5uk2OVidiUh7MaIkUXfAL1?si=smMQy2l1Q0GRmXTUMbzADA,476
http://open.spotify.com/artist/0k0ZHI0uIAIqXY5MVCH9hV,715
https://open.spotify.com/track/4XaLmGEKS3yb7yPSrqEjKN?si=eyJNy_JxS3KpOXfCubftiw,724
https://open.spotify.com/artist/4uILgdyGaGZtuqGVRLisXQ?si=ONk9VKkpSU2gnvJUoE3CLw,467
https://open.spotify.com/artist/0MyoWugdPYngWgagHhIbWa,717
https://open.spotify.com/artist/3g8LLb5iALnhUwBnTcTWy9,768
https://open.spotify.com/artist/4APg0sb0hq18e3wr2pkEsV?si=Z8i6OgF_RbmaZ_eJWTr3sg,757
https://open.spotify.com/artist/6aIQ1ueIVK5HeyxJ7qlMSp,752
https://open.spotify.com/artist/54Ew0jIFA08WaoyyCBaNJ1?si=TQndcKzvTuS88YNJxrQQDA,6189
https://open.spotify.com/artist/4fwvArBJAXzNDEcSIjKOOV,1943
https://open.spotify.com/album/1WE68LFUB1K34SrTF51cpQ,753
https://open.spotify.com/artist/0tRKQuwu60J1v2o8E118jx?si=_PeI7ttwQ6WmUrnDziVmQg,761
https://open.spotify.com/artist/2xK3hBpuuHSxmHr96TzgDO,763
https://open.spotify.com/artist/3rn0SsWx0bLFVuVNaaB4W0?si=ZoqIzJFkRvKowIGb68HZZg,6403
https://open.spotify.com/artist/4oqY7yzBFjrc3xFtskajUj,716
https://open.spotify.com/artist/5O7fwjbK3owt98nv9SJrkz?si=rhk157wBQQa2-XRba5fLxg,781
https://open.spotify.com/artist/6HuvLxmlkFKBMQPM4PdbjJ,788
https://open.spotify.com/artist/2p27QIb7c5BfxYVjSCS70S,809
https://open.spotify.com/artist/0sBTVPztZdoWsn0n5sM9Zx?si=EbF3dHCjQ7uex4wkpPyCng,801
https://open.spotify.com/artist/2N7RuT2BnN0ycjb8txJjt3,698
https://open.spotify.com/artist/29tB8MAwH1C3Sny13oaCFf,802
https://open.spotify.com/artist/4l936Ukv0eMuGsKEunnMcj?si=LVe6sCR_S168huOEyH85tw,815
https://open.spotify.com/artist/7CgVDnTyDJjV0zZ5GFqdz1,799
https://open.spotify.com/artist/0O0jteMW978kV9qvyP9uuT?si=51BOQDvERd6mxxbzC01pOA,798
https://open.spotify.com/artist/0ix4qoxNMCuoiX6sV0Ke3i,11809
https://open.spotify.com/artist/4UaJTRuc8B16nsGl9hzlrN,853
https://open.spotify.com/artist/5ccH8pgIG1EXxN3k6VVKdD,850
https://open.spotify.com/artist/7iJswmUZFXzcoJJD0cNTXt?si=-e51jUWlQIepHX6_BcLNTw,828
https://open.spotify.com/artist/3j2UtVAHwuHZywdk4zU0vX?si=q6O5maCESZWl987PFB4udw,852
https://open.spotify.com/artist/49HlUecVaKV33jUHAu54si,833
https://open.spotify.com/artist/7JFO7bnWWApOFvTMS3NFgh?si=g2Lz1wHuSwGAJqv44qmiLQ,839
https://open.spotify.com/artist/6QkOiXleQySLXeqp36LxHQ,840
https://open.spotify.com/artist/4GyPY3ayUeGEYLkCqVIBl4,841
https://open.spotify.com/artist/2AEBjPID1rpAGaGcTTh3sx?si=ny6H0w7CTIahV39GjWmtQw,848
https://open.spotify.com/artist/6AifisGJhTRxmNWwojNVX8,743
https://open.spotify.com/artist/4XxAOg9zcmFfnsTdEUzchm?si=C4C7OvpJRFuWehnm9l3Kmg,756
